label,message
spam,LAST CHANCE: Your cashback reward of £80 expires tonight. Claim it now!
spam,You have been gifted a £250 Marks and Spencer voucher. Click to redeem.
spam,Double your Bitcoin investment in 24 hours with our guaranteed trading bot!
spam,Your insurance premium is overdue. Pay now to avoid policy cancellation.
spam,Exclusive VIP offer just for you: 90% off luxury watches. Buy now!
spam,You owe £437 in council tax arrears. Arrange payment now to avoid court.
spam,Free debt consolidation! Reduce monthly payments by 60%. Call now!
spam,ALERT: Your PayPal account is suspended. Verify now to restore access.
spam,Be your own boss! Start your own online business today with no investment.
spam,Congratulations! Your CV has been selected. High salary job offer awaits you.
spam,Your broadband speed test shows poor performance. Upgrade free today!
spam,You are one of 10 lucky winners selected for a £5000 cash prize. Reply YES.
spam,Get cheap prescription medication delivered to your door with no doctor needed.
spam,Your Netflix account will be suspended unless you update billing details now.
spam,PRIVATE LOAN APPROVED: £15000 available today with no credit checks required.
spam,You could win £10000 by answering 3 simple questions on our website. Play now!
spam,Earn passive income online. Our training course teaches you to make money fast.
spam,HMRC: You are owed a tax refund of £542. Click now to submit your claim.
spam,Congratulations from British Telecom! You've been selected for a free upgrade.
spam,FREE trial of our premium weight loss programme. No hidden fees. Call now!
spam,"STOP! Before you pay your energy bill, claim your free government green grant."
spam,Your phone number was randomly drawn as a lucky winner. Text LUCKY to 66666.
spam,Warning: Virus detected on your device! Download our antivirus app immediately.
spam,You missed a delivery. Rearrange your delivery by clicking the link below.
spam,Amazing investment opportunity. Put in £100 and get back £1000 guaranteed!
spam,Congratulations! You've qualified for a 0% interest credit card. Apply today!
spam,URGENT! Your Netflix membership has been suspended. Update your payment details here: http://nflx-verify.com/login
spam,Amazon: Congratulations! You have been selected to win a FREE Amazon Gift Card. Click to claim your £1000 prize now!
spam,Final Notice: Your tax return for last year is incomplete. Call HM Revenue immediately on 0800-TAX-SCAM or face arrest.
spam,Earn up to $500 a day working from home! No experience required. Reply YES for info or text STOP to opt out.
spam,PayPal Alert: Unauthorised transaction detected on your account. Verify identity to cancel payment within 24 hours.
spam,Your Apple ID has been locked for security reasons. Please visit http://apple.auth-verify.com to unlock your account.
spam,Crypto alert! Bitcoin is going to the moon! Invest early in this new coin and get 1000% returns guaranteed. Buy now!
spam,Exclusive offer! Get 80% off Ray-Ban sunglasses today only. Limited stock available. Visit http://cheap-raybans.shop
ham,"Hey man, are we still on for football tonight at 7? Let me know if you need a lift."
ham,"Hi Sarah, just wanted to confirm our meeting for tomorrow at 10 AM. See you then!"
ham,Can you pick up some milk and bread on your way home? Thanks!
ham,The project deadline has been moved to next Friday. Let's touch base on Monday to review the status.
ham,Happy birthday! Hope you have an amazing day filled with joy and cake. Let's catch up soon.
ham,"I'm stuck in traffic, might be about 15 minutes late to the restaurant. Go ahead and order without me!"
ham,Your doctor's appointment is scheduled for Thursday at 2:30 PM. Please reply Y to confirm or N to cancel.
